Luxury Brownstone in Boerum Hill,40.68442,-73.98068,900
Affordable Furnished Apartment,40.6857,-73.98131,100
Boerum Hill Brownstone Garden Duplx,40.68607,-73.98074,380
"Family friendly, in Boerum/Cobble Hill",40.68561,-73.98919,274
Rare Loft Apt in Heart of Brooklyn,40.68441,-73.98405,180
"Boerum Hill, Entire Home / Loft",40.68248,-73.98082,314
Sunny 1 or 2 BR apt in Boerum Hill,40.68821,-73.98371,235
Boerum Hill Garden Apartment,40.68445,-73.98624,150
Brooklyn Garden Two Bedrooom/Two Bathroom,40.6847,-73.98728,314
Prime Brooklyn 1BR-10min to City!,40.68814,-73.98864,160
Quintessential Brooklyn...!!,40.68637,-73.98602,167
Clean & Comfy Modern Townhouse,40.68747,-73.98221,1057
Delightful & Modern 1 Bedroom,40.68859,-73.98682,120
Sunny Boerum Hill Duplex,40.68569,-73.98224,185
"Sunny, Spacious 1BR in BoCoCa",40.68627,-73.99052,180
"Great location, spacious apt.",40.68314,-73.98238,120
"Super Quiet, Private Patio",40.688255,-73.98558,192
"Tall Ceilings, Large Windows",40.68826,-73.98558,192
Beautiful Boerum Hill apartment!,40.68731,-73.98942,85
Beautiful Light-filled Boerum Hill 2-bedroom,40.68574,-73.99055,130
Beautiful Fort Greene Studio,40.68704,-73.98021,180
Room in Down town Brooklyn Parkslop,40.6832,-73.98109,60
"LOVELY APARTMENT, BIG LIVING ROOM",40.68821,-73.9903,120
Beautiful Boerum Hill 2 Bedroom,40.68484,-73.97906,175
Cosy Bedroom in typical brownstone,40.68755,-73.98973,65
Brooklyn Heights Dream Apt w/ Private Deck & Views,40.69026,-73.99127,169
Charming Brooklyn One Bedroom w Private Backyard,40.68438,-73.98465,85
Garden Facing Quiet Retreat,40.68826,-73.98558,184
Perfect 2BR for a family!,40.68639,-73.98981,180
Ideal Downtown Brooklyn 1 Bedroom,40.68641,-73.98526,75
"Large, Spacious, Bright Apartment",40.68321,-73.9804,150
"Easy Access, Cute Space",40.68826,-73.98558,135
"Sunny Brooklyn, Boerum Hill Bedroom!",40.68649,-73.98507,65
Cozy Boerum Hill Apartment,40.68605,-73.98942,134
2000sq $2 million 3 story townhouse,40.68691,-73.98783,485
"Super Quiet, Your Oasis",40.68812,-73.9854,121
Townhouse in beautiful brownstone area!,40.68516,-73.98581,375
Cozy Mozy apt in Cobble Hill,40.6893,-73.99097,168
Cozy Room in Boerum Hill,40.68605,-73.98872,62
TH BRKLYN,40.68834,-73.98601,150
A Small Kingdom in the Clouds,40.68826,-73.98558,119
Gorgeous brownstone duplex in prime Boerum Hill,40.68494,-73.98446,325
Room in Carroll Gardens,40.68541,-73.99107,75
"Sun Drenched, Huge Room-Park Slope",40.68334,-73.97922,55
Brklyn Hts Luxury - Garden Calm & Downtown Verve,40.68972,-73.99216,323
Sunny 2 Bedroom - Boerum Hill,40.68837,-73.99013,600
"Garden, Spacious, Great Location,  1 stop to City.",40.6833,-73.98103,255
Brooklyn Heights Garden Level,40.68946,-73.99171,250
Boerum Hill Charming Studio,40.68709,-73.98552,274
"Large Windows, Plenty of Light",40.68826,-73.98558,188
Lovely Bedroom in Beautiful Brooklyn Apartment!,40.69021,-73.99157,30
Large 1 bdrm + Office with Outdoor Space,40.68437,-73.98087,189
Spacious and Bright Brooklyn Two Bedroom Apartment,40.68409,-73.98542,185
"Big, Bright & Private Apartment in Boerum Hill",40.686783919383736,-73.98899241961766,243
Spacious Duplex with Office and Private Garden,40.68674,-73.9889,315
Clean & Sanitized Two Bed Brownstone in Brooklyn!,40.68592,-73.99007,200
Elegant Arty Studio in the heart of Brooklyn,40.68789,-73.98964,170
Beautiful Loft Apartment in Boerum Hill,40.68559,-73.98341,92
Beautiful 2-bed apartment in leafy Boerum Hill,40.68614,-73.98373,130
Entire Floor in 1870 Downtown Brooklyn Brownstone,40.6849,-73.98496,95
